,bd,bde,w,we,a,isanim,Item,Group,bd_f,bd_pasture_per_kg,kg_m2_tb,kg_m2_wwf,t_est,LQ,MQ,HQ
56,3.801619947293149e-11,5.756188068418219e-13,1555631.6666666667,23536.99419196497,MEX,False,Onions; dry,Vegetables,,,,,5.9139203746408875e-05,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
55,4.623377897303658e-12,2.506100448825985e-13,48810.833333333336,2645.7895945641076,MDA,False,Onions; dry,Vegetables,,,,,2.2567092798230597e-07,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
54,5.281808206205465e-12,4.828844192371526e-13,10855.5,992.4540221648111,MNG,False,Onions; dry,Vegetables,,,,,5.733666898246342e-08,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
53,2.665934042419052e-11,6.245002257497651e-13,1119.8333333333333,26.232313265498703,MNE,False,Onions; dry,Vegetables,,,,,2.985401805168935e-08,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
52,2.7079129441018232e-11,1.1559702152628934e-12,822098.8333333334,35094.25083528376,MAR,False,Onions; dry,Vegetables,,,,,2.226172072114341e-05,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
51,2.1698433289072256e-11,1.717879989812072e-12,190485.83333333334,15080.891219274563,MOZ,False,Onions; dry,Vegetables,,,,,4.13324414709667e-06,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
50,2.162479992242e-12,2.337887252694976e-14,26146.666666666668,282.67380756179284,NAM,False,Onions; dry,Vegetables,,,,,5.65416435304875e-08,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
39,8.917672569136893e-11,6.904312894108353e-12,185419.33333333334,14355.686240160236,PHL,False,Onions; dry,Vegetables,,,,,1.6535089026543167e-05,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
48,2.0270422152097322e-10,1.6654584398584786e-11,24478.833333333332,2011.2299224419685,NIC,False,Onions; dry,Vegetables,,,,,4.961962854574983e-06,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
47,2.3976243618820413e-12,1.4455205715614635e-13,1135401.6666666667,68453.02759868206,NER,False,Onions; dry,Vegetables,,,,,2.722266696521473e-06,1.938655014537691e-12,1.0580322376059387e-11,4.8915156605148437e-11
